id;operator;vehicle;arrival;departure;distance;total distance;latitude(deg);longitude(deg);maps url;passenger exchange time;total in;total out;system errors;in1(D1L);out1(D1L);status1(D1L);in10(D8L);out10(D8L);status10(D8L);in11(D7L);out11(D7L);status11(D7L);in12(D7P);out12(D7P);status12(D7P);in13(D3L);out13(D3L);status13(D3L);in14(D3P);out14(D3P);status14(D3P);in15(D4P);out15(D4P);status15(D4P);in16(D4L);out16(D4L);status16(D4L);in17(D5L);out17(D5L);status17(D5L);in18(D5P);out18(D5P);status18(D5P);in19(D6P);out19(D6P);status19(D6P);in2(D1P);out2(D1P);status2(D1P);in20(D6L);out20(D6L);status20(D6L);in3(D2P);out3(D2P);status3(D2P);in4(D2L);out4(D2L);status4(D2L);in5(D10P);out5(D10P);status5(D10P);in6(D10L);out6(D10L);status6(D10L);in7(D9L);out7(D9L);status7(D9L);in8(D9P);out8(D9P);status8(D9P);in9(D8P);out9(D8P);status9(D8P)
42;KML4423;36;2025-03-15 08:24:46;2025-03-15 08:25:39;2073;185459;52.41578;20.88397;http://maps.google.com/maps?q=52.41578%2C20.88397;23;17;2;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;4;1;0;1;0;0;0;0;0;0;0;0;2;0;0;1;0;0;5;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
43;KML4423;36;2025-03-15 08:27:21;2025-03-15 08:28:26;2242;187532;52.41137;20.9134283333333;http://maps.google.com/maps?q=52.41137%2C20.9134283333333;27;29;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;5;0;0;2;0;0;0;0;0;0;0;0;3;0;0;1;0;0;6;1;0;0;0;0;5;0;0;0;0;0;3;0;0;0;0;0;0;0;0;2;0;0;1;0;0
44;KML4423;36;2025-03-15 08:30:12;2025-03-15 08:31:30;8290;189774;52.40167;20.94109;http://maps.google.com/maps?q=52.40167%2C20.94109;48;79;6;0;18;3;0;7;0;0;7;0;0;0;0;0;6;0;0;0;0;0;0;0;0;7;1;0;6;2;0;0;0;0;0;0;0;0;0;0;6;0;0;0;0;0;8;0;0;0;0;0;4;0;0;10;0;0;0;0;0;0;0;0
45;KML4423;36;2025-03-15 08:35:39;2025-03-15 08:36:24;4867;198064;52.33372;20.98602;http://maps.google.com/maps?q=52.33372%2C20.98602;14;13;2;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;1;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;3;0;0;1;0;0
46;KML4423;36;2025-03-15 08:39:29;2025-03-15 08:40:22;4655;202931;52.29357;21.0132783333333;http://maps.google.com/maps?q=52.29357%2C21.0132783333333;22;8;17;0;2;2;0;1;1;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;1;1;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;2;5;0;1;1;0;0;0;0;0;0;0
47;KML4423;36;2025-03-15 08:43:55;2025-03-15 08:44:39;2373;207586;52.26407;21.05244;http://maps.google.com/maps?q=52.26407%2C21.05244;13;1;10;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;4;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0
48;KML4423;36;2025-03-15 08:47:45;2025-03-15 08:49:49;4586;209959;52.25158;21.05157;http://maps.google.com/maps?q=52.25158%2C21.05157;73;8;42;1;0;0;0;0;0;0;0;0;0;0;6;0;0;0;0;0;0;0;1;6;0;0;0;0;0;0;0;1;3;0;0;3;0;2;7;0;0;0;0;0;7;0;0;0;0;0;3;0;0;0;0;0;0;0;2;5;0;2;2;0
49;KML4423;36;2025-03-15 08:54:50;2025-03-15 08:56:36;2676;214545;0;0;n/a;76;17;100;1;0;0;0;0;0;0;0;0;0;0;10;0;0;0;0;0;9;0;0;7;0;0;0;0;0;0;0;0;6;0;0;11;0;5;17;0;0;0;0;8;12;0;0;0;0;2;10;0;0;0;0;0;0;0;2;10;0;0;8;0
50;KML4423;36;2025-03-15 08:59:44;2025-03-15 09:01:51;2981;217221;52.22077;20.96547;http://maps.google.com/maps?q=52.22077%2C20.96547;94;16;13;1;0;0;0;0;0;0;0;0;0;3;3;0;0;0;0;4;2;0;1;1;0;0;0;0;0;0;0;3;1;0;0;1;0;4;2;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2;0;0;0;0
51;KML4423;36;2025-03-15 09:05:33;2025-03-15 09:06:35;2044;220202;52.20562;20.94132;http://maps.google.com/maps?q=52.20562%2C20.94132;32;4;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;2;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;2;0;0;0;0
52;KML4423;36;2025-03-15 09:08:26;2025-03-15 09:09:33;1097;222246;52.19679;20.96624;http://maps.google.com/maps?q=52.19679%2C20.96624;33;3;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0
53;KML4423;36;2025-03-15 09:10:38;2025-03-15 09:12:36;1602;223343;52.19322;20.9812;http://maps.google.com/maps?q=52.19322%2C20.9812;86;1;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
54;KML4423;36;2025-03-15 09:14:25;2025-03-15 09:15:40;2019;224945;52.18045;20.98698;http://maps.google.com/maps?q=52.18045%2C20.98698;40;5;9;0;1;4;0;2;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0
55;KML4423;36;2025-03-15 09:18:30;2025-03-15 09:40:53;2095;226964;0;0;n/a;1304;49;54;1;0;0;0;0;0;0;0;0;0;1;5;0;0;0;0;4;5;0;2;8;0;0;0;0;0;0;0;1;3;0;1;2;0;26;9;0;0;0;0;12;10;0;0;0;0;2;3;0;0;0;0;0;0;0;0;6;0;0;3;0
56;KML4423;36;2025-03-15 09:43:23;2025-03-15 09:44:35;1557;229059;52.18101;20.98716;http://maps.google.com/maps?q=52.18101%2C20.98716;39;9;5;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2;0;0;0;0;6;1;0;0;0;0;1;1;0;0;0;0;0;0;0;0;1;0;0;0;0
